Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
121,Norwegian Wood,Jacob Collier,2025-10-10,91,24,64,-14,45,2:35,85,52,63,5474,Sort Your Music.htm,2025-10-19 18:05:08,6JvbHl9vuuLiSWuw8E7y9j,spotify:track:6JvbHl9vuuLiSWuw8E7y9j,Norwegian Wood,Jacob Collier,The Light For Days,2025-10-10,52,,https://open.spotify.com/track/6JvbHl9vuuLiSWuw8E7y9j,high
122,Keep An Eye On Summer,Jacob Collier,2025-10-10,87,26,23,-14,23,2:46,90,50,80,7000,Sort Your Music.htm,2025-10-19 18:05:08,1Zzhs4uYjC9DhQ2qlbL66C,spotify:track:1Zzhs4uYjC9DhQ2qlbL66C,Keep An Eye On Summer,Jacob Collier,The Light For Days,2025-10-10,50,,https://open.spotify.com/track/1Zzhs4uYjC9DhQ2qlbL66C,high
123,I Know (A Little),Jacob Collier,2025-10-10,125,24,42,-14,43,3:40,94,50,96,8301,Sort Your Music.htm,2025-10-19 18:05:08,1VqentdFTvxluBvmB2QpNd,spotify:track:1VqentdFTvxluBvmB2QpNd,I Know (A Little),Jacob Collier,The Light For Days,2025-10-10,50,,https://open.spotify.com/track/1VqentdFTvxluBvmB2QpNd,high
124,Where Did My Apple Fall?,Jacob Collier,2025-10-10,69,18,43,-14,33,2:33,88,49,111,1556,Sort Your Music.htm,2025-10-19 18:05:08,1spX9oohroo5K9obGKV5m9,spotify:track:1spX9oohroo5K9obGKV5m9,Where Did My Apple Fall?,Jacob Collier,The Light For Days,2025-10-10,49,,https://open.spotify.com/track/1spX9oohroo5K9obGKV5m9,high
125,Sweet Melody,Jacob Collier,2025-10-10,130,45,70,-12,94,1:34,96,48,127,4806,Sort Your Music.htm,2025-10-19 18:05:08,1TIaJBUP2P86IO4UrQJrXc,spotify:track:1TIaJBUP2P86IO4UrQJrXc,Sweet Melody,Jacob Collier,The Light For Days,2025-10-10,48,,https://open.spotify.com/track/1TIaJBUP2P86IO4UrQJrXc,high
126,Icarus,Jacob Collier,2025-10-10,126,10,37,-18,12,3:46,82,49,143,9652,Sort Your Music.htm,2025-10-19 18:05:08,0paP4VVmAyHZ2SewQL14Sr,spotify:track:0paP4VVmAyHZ2SewQL14Sr,Icarus,Jacob Collier,The Light For Days,2025-10-10,49,,https://open.spotify.com/track/0paP4VVmAyHZ2SewQL14Sr,high
127,Something Heavy,Jacob Collier,2025-10-10,138,12,37,-16,12,5:44,96,50,153,574,Sort Your Music.htm,2025-10-19 18:05:08,0KFU7FSjqp4vQgLXoQQHdM,spotify:track:0KFU7FSjqp4vQgLXoQQHdM,Something Heavy,Jacob Collier,The Light For Days,2025-10-10,50,,https://open.spotify.com/track/0KFU7FSjqp4vQgLXoQQHdM,high
128,Time is a Thief,Tessi Nandi,2023-11-24,136,59,65,-8,46,3:25,14,30,99,3916,Sort Your Music.htm,2025-10-19 18:05:08,5qEcO66pI95ddNZcX4Irdy,spotify:track:5qEcO66pI95ddNZcX4Irdy,Time is a Thief,Tessi Nandi,Time is a Thief,2023-11-24,30,,https://open.spotify.com/track/5qEcO66pI95ddNZcX4Irdy,high
129,Other Side,Mackenzie Sol,2025-09-12,125,54,55,-5,22,3:08,6,34,100,8462,Sort Your Music.htm,2025-10-19 18:05:08,2BGhy8xebGNO6yxpraN8gg,spotify:track:2BGhy8xebGNO6yxpraN8gg,Other Side,Mackenzie Sol,Other Side,2025-09-12,34,,https://open.spotify.com/track/2BGhy8xebGNO6yxpraN8gg,high
130,No Feeling Is Final,Flora Sage,2025-09-26,89,41,71,-11,64,3:11,78,35,104,3711,Sort Your Music.htm,2025-10-19 18:05:08,6i0RF7GCB20PWPYoPwZXQL,spotify:track:6i0RF7GCB20PWPYoPwZXQL,No Feeling Is Final,Flora Sage,"Troughs, Stillpoints, & Peaks",2025-09-26,35,,https://open.spotify.com/track/6i0RF7GCB20PWPYoPwZXQL,high
131,Stay,Debbie,2022-04-12,94,44,76,-9,37,2:55,62,34,105,3269,Sort Your Music.htm,2025-10-19 18:05:08,2LZIdTKnsxQPXCLmSPdc9p,spotify:track:2LZIdTKnsxQPXCLmSPdc9p,Stay,Debbie,Stay,2022-04-12,34,,https://open.spotify.com/track/2LZIdTKnsxQPXCLmSPdc9p,high
132,Pass You Bye,Ina Forsman,2025-04-11,135,78,72,-4,95,2:48,6,31,107,1688,Sort Your Music.htm,2025-10-19 18:05:08,2urWpD32pGK1HUWoHLAosY,spotify:track:2urWpD32pGK1HUWoHLAosY,Pass You Bye,Ina Forsman,After Dark Hour,2025-04-11,31,,https://open.spotify.com/track/2urWpD32pGK1HUWoHLAosY,high
133,Paris Express,Danae,2025-09-05,115,30,36,-11,10,3:06,88,31,108,5441,Sort Your Music.htm,2025-10-19 18:05:08,064KhBw4qP9gK4OeV9s3v5,spotify:track:064KhBw4qP9gK4OeV9s3v5,Paris Express,Danae,Back Rooms & Black Suits,2025-09-05,31,,https://open.spotify.com/track/064KhBw4qP9gK4OeV9s3v5,high
134,Liz,Remi Wolf,2022-06-03,161,79,57,-4,57,2:56,14,55,109,9746,Sort Your Music.htm,2025-10-19 18:05:08,5wJ9sSG7NItwu34jMnyxqa,spotify:track:5wJ9sSG7NItwu34jMnyxqa,Liz,Remi Wolf,Liz,2021-06-01,47,,https://open.spotify.com/track/5wJ9sSG7NItwu34jMnyxqa,high
135,Pieces,Brooke Combe,2025-01-31,148,42,63,-11,46,3:28,64,33,150,409,Sort Your Music.htm,2025-10-19 18:05:08,2KqF7KCFb86mn7sw51fXht,spotify:track:2KqF7KCFb86mn7sw51fXht,Pieces,Brooke Combe,Dancing At The Edge Of The World,2025-01-31,33,,https://open.spotify.com/track/2KqF7KCFb86mn7sw51fXht,high
136,Nobody's Baby,Thelma Plum,2024-10-18,118,77,57,-6,43,2:35,2,29,112,2240,Sort Your Music.htm,2025-10-19 18:05:08,5GJKiEOQiGYh1P8PVWsnf5,spotify:track:5GJKiEOQiGYh1P8PVWsnf5,Nobody's Baby,Thelma Plum,"I’m Sorry, Now Say It Back",2024-10-18,29,,https://open.spotify.com/track/5GJKiEOQiGYh1P8PVWsnf5,high
