Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
87,BLUE TEMPERATURE,Seori,2025-09-12,120,32,68,-11,35,4:10,71,42,100,8272,Sort Your Music.html,2025-10-04 23:02:12,3rBXU0kgALG3aRfTo7JlnS,spotify:track:3rBXU0kgALG3aRfTo7JlnS,BLUE TEMPERATURE,Seori,You and Everything Else (Soundtrack from the Netflix Series),2025-09-12,42,,https://open.spotify.com/track/3rBXU0kgALG3aRfTo7JlnS,high
88,It Ain't Over,Fujii Kaze,2025-09-05,120,50,60,-9,32,4:59,37,65,101,9120,Sort Your Music.html,2025-10-04 23:02:12,7xWKGIFGLxBJAyGSus7BOJ,spotify:track:7xWKGIFGLxBJAyGSus7BOJ,It Ain't Over,Fujii Kaze,Prema,2025-09-05,65,,https://open.spotify.com/track/7xWKGIFGLxBJAyGSus7BOJ,high
89,Stepwise,Sevish,2025-09-19,172,61,26,-11,17,6:18,1,24,102,7980,Sort Your Music.html,2025-10-04 23:02:12,45d01KfrWANCOrjC6QNMJi,spotify:track:45d01KfrWANCOrjC6QNMJi,Stepwise,Sevish,Stepwise,2025-09-19,24,,https://open.spotify.com/track/45d01KfrWANCOrjC6QNMJi,high
90,Odyssey,蓮沼執太フィル,2025-09-17,136,71,62,-6,52,2:37,41,23,103,5184,Sort Your Music.html,2025-10-04 23:02:12,4vkayfB93kgcIocJa1zMYr,spotify:track:4vkayfB93kgcIocJa1zMYr,Odyssey,蓮沼執太フィル,Ⅱ (Neo-Japonism Original Sound Track),2025-09-17,23,,https://open.spotify.com/track/4vkayfB93kgcIocJa1zMYr,high
91,The Art of Loving (Intro),Olivia Dean,2025-09-26,128,15,40,-14,45,0:41,91,73,9,1756,Sort Your Music.html,2025-10-04 23:02:12,1TZgdopOZCUxpS5bp1i0Zz,spotify:track:1TZgdopOZCUxpS5bp1i0Zz,The Art of Loving (Intro),Olivia Dean,The Art of Loving,2025-09-26,73,,https://open.spotify.com/track/1TZgdopOZCUxpS5bp1i0Zz,high
92,Nice To Each Other,Olivia Dean,2025-09-26,132,75,76,-7,70,3:29,35,73,19,6096,Sort Your Music.html,2025-10-04 23:02:12,7gKxCvTDWwV9wBhdeBbr3l,spotify:track:7gKxCvTDWwV9wBhdeBbr3l,Nice To Each Other,Olivia Dean,Nice To Each Other,2025-05-30,87,,https://open.spotify.com/track/7gKxCvTDWwV9wBhdeBbr3l,high
93,Lady Lady,Olivia Dean,2025-09-26,96,59,63,-9,55,3:29,81,73,28,5694,Sort Your Music.html,2025-10-04 23:02:12,1XwbJNPOcLuSRTQNR9zz4r,spotify:track:1XwbJNPOcLuSRTQNR9zz4r,Lady Lady,Olivia Dean,Lady Lady,2025-07-10,78,,https://open.spotify.com/track/1XwbJNPOcLuSRTQNR9zz4r,high
94,Close Up,Olivia Dean,2025-09-26,177,53,35,-8,20,3:15,73,75,38,6009,Sort Your Music.html,2025-10-04 23:02:12,15yaPgTazHHemSnHYYl8HO,spotify:track:15yaPgTazHHemSnHYYl8HO,Close Up,Olivia Dean,The Art of Loving,2025-09-26,75,,https://open.spotify.com/track/15yaPgTazHHemSnHYYl8HO,high
95,So Easy (To Fall In Love),Olivia Dean,2025-09-26,140,63,75,-6,57,2:49,67,81,47,3685,Sort Your Music.html,2025-10-04 23:02:12,6sGIMrtIzQjdzNndVxe397,spotify:track:6sGIMrtIzQjdzNndVxe397,So Easy (To Fall In Love),Olivia Dean,The Art of Loving,2025-09-26,81,,https://open.spotify.com/track/6sGIMrtIzQjdzNndVxe397,high
96,Let Alone The One You Love,Olivia Dean,2025-09-26,82,42,55,-8,31,3:06,70,76,57,9436,Sort Your Music.html,2025-10-04 23:02:12,3Vd4fHzwS6pBS3muymjiDi,spotify:track:3Vd4fHzwS6pBS3muymjiDi,Let Alone The One You Love,Olivia Dean,The Art of Loving,2025-09-26,76,,https://open.spotify.com/track/3Vd4fHzwS6pBS3muymjiDi,high
