Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
116,Round Town (feat. Ren) - Skit,CHINCHILLA,2021-08-13,180.0,74.0,66.0,-7.0,75.0,2:15,25.0,40.0,112.0,1339.0,Sort Your Music.html,2025-10-04 23:08:20,77KBPKsDuT0Q6rppVEu7NE,spotify:track:77KBPKsDuT0Q6rppVEu7NE,Round Town (feat. Ren) - Skit,"CHINCHILLA, Ren",Moon Maintenance For Dummies,2021-08-13,40,,https://open.spotify.com/track/77KBPKsDuT0Q6rppVEu7NE,high
117,Try Your Luck,Julia Michaels,2025-05-23,90.0,75.0,65.0,-6.0,42.0,2:43,7.0,53.0,103.0,7506.0,Sort Your Music.html,2025-10-04 23:08:20,4OeHwa1G1CXBnbqZokaMwk,spotify:track:4OeHwa1G1CXBnbqZokaMwk,Try Your Luck,Julia Michaels,Second Self,2025-05-23,53,,https://open.spotify.com/track/4OeHwa1G1CXBnbqZokaMwk,high
1,Animal Flow,Ren,2023-10-13,130,56,92,-7,59,2:55,2,51,2,4162,Sort Your Music.html,2025-10-04 23:09:58,31bJGRZ7GHKaRnJkSqg4I7,spotify:track:31bJGRZ7GHKaRnJkSqg4I7,Animal Flow,Ren,Animal Flow,2023-05-04,46,,https://open.spotify.com/track/31bJGRZ7GHKaRnJkSqg4I7,high
2,Lane Boy,Twenty One Pilots,2015-05-15,160,81,62,-5,91,4:13,6,66,19,3401,Sort Your Music.html,2025-10-04 23:09:58,2P61EK6DMGyVyssLWS4fKy,spotify:track:2P61EK6DMGyVyssLWS4fKy,Lane Boy,Twenty One Pilots,Blurryface,2015-05-15,66,,https://open.spotify.com/track/2P61EK6DMGyVyssLWS4fKy,high
3,Fentanyl,Knox Hill,2024-10-04,160,70,53,-8,49,3:42,23,31,20,6819,Sort Your Music.html,2025-10-04 23:09:58,126bMLu491RIUC1rKvz8Du,spotify:track:126bMLu491RIUC1rKvz8Du,Fentanyl,"Knox Hill, Ren",Fentanyl,2024-09-27,31,,https://open.spotify.com/track/126bMLu491RIUC1rKvz8Du,high
5,Touch,KATSEYE,2024-07-26,167,90,74,-3,79,2:10,55,86,9,5335,Sort Your Music.html,2025-10-04 23:09:58,6aJn7Cst74cj4lNIiPRgav,spotify:track:6aJn7Cst74cj4lNIiPRgav,Touch,KATSEYE,Touch,2024-07-26,86,,https://open.spotify.com/track/6aJn7Cst74cj4lNIiPRgav,high
6,Agree to Disagree,Emei,2024-07-12,140,65,78,-6,57,2:22,9,39,10,8765,Sort Your Music.html,2025-10-04 23:09:58,4oD9gB11wTctdCMMzmuZWH,spotify:track:4oD9gB11wTctdCMMzmuZWH,Agree to Disagree,Emei,Scatterbrain (Deluxe),2024-07-12,39,,https://open.spotify.com/track/4oD9gB11wTctdCMMzmuZWH,high
7,Pedro,Jaxomy,2024-03-29,151,94,79,-6,84,2:25,2,75,21,8381,Sort Your Music.html,2025-10-04 23:09:58,0gYuvKWHb91DODhZaERQ0a,spotify:track:0gYuvKWHb91DODhZaERQ0a,Pedro - W&W Remix,"Jaxomy, Agatino Romero, Raffaella Carrà, W&W",Pedro (W&W Remix),2024-05-24,57,,https://open.spotify.com/track/0gYuvKWHb91DODhZaERQ0a,high
8,The Door,Teddy Swims,2023-09-15,128,86,73,-5,76,3:33,2,86,22,4830,Sort Your Music.html,2025-10-04 23:09:58,3dj4wgM3cPeuLwMNHDuBon,spotify:track:3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,86,,https://open.spotify.com/track/3dj4wgM3cPeuLwMNHDuBon,high
9,Mic Check,Sophie Hunter,2024-04-22,167,84,76,-4,58,3:38,10,52,23,6468,Sort Your Music.html,2025-10-04 23:09:58,64BO08oRsnWxOTcOi8m557,spotify:track:64BO08oRsnWxOTcOi8m557,Mic Check,Sophie Hunter,Mic Check,2024-04-22,52,,https://open.spotify.com/track/64BO08oRsnWxOTcOi8m557,high
10,Nobody's Soldier,Hozier,2024-08-16,134,82,65,-3,77,3:57,2,54,11,5156,Sort Your Music.html,2025-10-04 23:09:58,0UMGY9KzTESYGstyvypV6z,spotify:track:0UMGY9KzTESYGstyvypV6z,Nobody's Soldier,Hozier,Unaired,2024-08-16,54,,https://open.spotify.com/track/0UMGY9KzTESYGstyvypV6z,high
11,Too Sweet,Hozier,2024-03-22,117,62,74,-6,93,4:11,3,16,98,2907,Sort Your Music.html,2025-10-04 23:09:58,3HMY0r2BAdpasXMY8rseR0,spotify:track:3HMY0r2BAdpasXMY8rseR0,Too Sweet,Hozier,Unheard,2024-03-22,75,,https://open.spotify.com/track/3HMY0r2BAdpasXMY8rseR0,high
13,Troubles,Ren,2024-05-10,89,63,71,-5,64,4:14,8,51,77,9927,Sort Your Music.html,2025-10-04 23:09:58,55ntZWWQvG61pdItxwtG79,spotify:track:55ntZWWQvG61pdItxwtG79,Troubles,Ren,Troubles,2024-05-10,51,,https://open.spotify.com/track/55ntZWWQvG61pdItxwtG79,high
